game_id,minute,player
101,44,Majewski
101,52,Smolarek
101,90,Å»muda
102,46,B. FÃ¶rster
102,35,Giresse
103,62,Buncol
103,71,WÃ³jcicki
104,31,Conti
104,73,Oriali
104,61,Dremmler
104,73,Stielike
257,36,Careca
257,83,Edinho
257,13,Dziekanowski
257,30,Boniek
258,30,GarrÃ©
258,49,Brown
258,83,Pumpido
258,35,Francescoli
258,58,Acevedo
258,68,SantÃ­n
259,16,De Napoli
259,67,Di Gennaro
260,29,Lamriss
261,37,Martin
261,67,Hodge
262,26,Andersen
262,27,Goicoechea
262,32,Camacho
264,27,Allofs
264,56,FÃ¶rster
264,64,Berthold
264,86,MatthÃ¤us
264,20,Aguirre
264,27,Quirarte
264,75,De los Cobos
264,83,ServÃ­n
264,94,Hugo SÃ¡nchez
265,60,Batista
266,39,TomÃ¡s
266,44,CalderÃ©
266,24,Demol
267,89,FernÃ¡ndez
268,33,Valdano
270,17,Maradona
270,77,Olarticoechea
270,81,Enrique
270,85,Pumpido
270,21,MatthÃ¤us
347,13,Helmer
347,37,Wagner
348,18,Goikoetxea
348,19,Ferrer
348,22,Camarasa
348,87,Otero
348,23,Hottiger
348,69,Studer
348,77,Subiat
349,71,Al-Muwallid
349,16,Ljung
349,67,Thern
350,50,Popescu
350,68,Selymes
350,84,Dumitrescu
350,33,Ruggeri
350,55,Redondo
350,56,Chamot
352,8,Mazinho
352,16,Jorginho
352,44,Leonardo
352,44,Tab Ramos
352,49,Caligiuri
352,64,Clavijo
352,80,Dooley
353,2,Emenalo
353,41,Mutiu
353,53,Oliseh
353,58,Nwanu
353,6,Massaro
353,29,Costacurta
353,60,Signori
353,62,D. Baggio
353,75,Zola
354,14,SuÃ¡rez
354,28,Luis GarcÃ­a
354,57,Luis GarcÃ­a
354,70,RamÃ­rez
354,76,GarcÃ­a Aspe
354,12,Kremenliev
354,17,Sirakov
354,34,Kirjakov
354,50,Kremenliev
355,3,Abelardo
356,40,Winter
356,89,Wouters
357,22,Ivanov
357,82,Stoichkov
357,85,Mikhajlov
357,14,Helmer
357,15,Wagner
357,49,HÃ¤Ãler
357,50,Klinsmann
358,21,Popescu
358,34,Selymes
358,108,Panduru
358,7,Ingesson
358,43,Schwarz
359,52,Kostadinov
359,65,Lechkov
359,83,Yankov
359,61,Costacurta
360,29,Ljung
360,63,Thern
360,86,Brolin
361,82,K. Andersson
362,4,Mazinho
362,87,Cafu
362,41,Apolloni
411,38,Moriero
411,84,Di Biagio
411,89,Maldini
411,35,H. Flo
411,54,Mykland
412,45,Leonardo
412,90+,Cafu
412,34,Fuentes
413,19,Chilavert
413,23,BenÃ­tez
413,32,Enciso
413,84,Arce
414,49,Okocha
415,45+,Babbel
415,56,MatthÃ¤us
415,77,Tarnat
415,88,Hamann
415,57,Davino
416,38,StojkoviÄ
416,52,MirkoviÄ
417,43,GicÄ Popescu
417,70,Petrescu
417,81,Ilie
417,27,Boban
418,44,VerÃ³n
418,47,Simeone
418,73,Almeyda
418,110,Roa
418,5,Seaman
418,10,Ince
419,26,Del Piero
419,28,Bergomi
419,113,Costacurta
419,53,Guivarc'h
420,11,Roberto Carlos
420,37,Aldair
420,81,Cafu
420,19,Helveg
420,39,Colding
421,10,Stam
421,17,Numan
421,76,Numan
421,22,Chamot
421,60,Sensini
422,18,Heinrich
422,37,Tarnat
422,40,WÃ¶rns
422,14,StaniÄ
422,16,Å imiÄ
423,31,ZÃ© Carlos
423,45,CÃ©sar Sampaio
423,48,Reiziger
423,60,Davids
423,90,Van Hooijdonk
424,74,Blanc
424,45,AsanoviÄ
424,75,StaniÄ
425,34,JurÄiÄ
425,52,Å timac
425,69,AsanoviÄ
425,74,StaniÄ
425,89,Davids
426,39,Deschamps
426,48,Desailly
426,56,Karembeu
426,68,Desailly
463,44,Kana-Biyik
463,47,N'Dip
463,68,M'Bouh
463,117,Onana
463,72,Perea
464,53,HaÅ¡ek
464,56,KociÃ¡n
464,68,Straka
464,6,GonzÃ¡lez
465,40,Ricardo Rocha
465,50,Mauro GalvÃ£o
465,85,Ricardo Gomes
465,27,MonzÃ³n
465,28,Giusti
466,21,VÃ¶ller
466,22,VÃ¶ller
466,77,MatthÃ¤us
466,21,Rijkaard
466,22,Rijkaard
466,32,Wouters
467,17,Aldridge
467,108,McGrath
467,111,Hagi
468,36,Berti
468,14,Pintos Saldanha
468,26,Ãlvez
468,35,Perdomo
469,92,Roberto
469,110,Chendo
469,7,Katanec
469,60,VujoviÄ
471,23,Å abanadÅ¾oviÄ
471,31,Å abanadÅ¾oviÄ
471,21,Serrizuela
471,41,Olarticoechea
471,54,Burruchaga
471,61,Troglio
472,36,De Agostini
473,28,Klinsmann
473,11,MoravÄÃ­k
473,14,BÃ­lek
473,38,Straka
473,70,MoravÄÃ­k
474,70,Pearce
474,28,Massing
474,104,N'Kono
475,22,Giannini
475,30,Giusti
475,71,Ruggeri
475,76,Olarticoechea
475,82,Caniggia
475,105+,Giusti
476,109,Brehme
476,66,Parker
478,52,VÃ¶ller
478,5,Dezotti
478,65,MonzÃ³n
478,84,Troglio
478,87,Dezotti
515,35,Nelinho
515,44,Batista
516,40,Ardiles
516,15,Krol
516,94,Suurbier
518,37,Smolarek
518,31,Hurtado
519,19,Gerrard
519,63,Crouch
520,90,Larsson
520,15,A. John
520,46,A. John
521,41,Saviola
521,48,Heinze
521,81,Lucho GonzÃ¡lez
521,62,EbouÃ©
522,34,StankoviÄ
522,64,Koroman
522,81,DragutinoviÄ
522,90,GavranÄiÄ
522,56,Van Bronckhorst
523,18,Torrado
523,90+,Salcido
524,28,Jamba
524,45+,LocÃ³
524,52,AndrÃ©
524,26,Cristiano Ronaldo
525,33,Grella
525,58,Moore
525,69,Cahill
525,78,Aloisi
525,31,Miyamoto
525,40,Takahara
526,5,Onyewu
526,60,Reyna
526,16,Rozehnal
526,59,Lokvenc
526,81,RosickÃ½
527,10,De Rossi
527,62,Camoranesi
527,88,Iaquinta
527,41,Muntari
528,41,Kim Young-chul
528,51,Lee Chun-soo
528,23,Abalo
528,24,Romao
528,53,Abalo
529,64,Abidal
529,72,Zidane
529,90+,Sagnol
529,42,Magnin
529,45,Streller
529,56,P. Degen
529,72,Cabanas
530,42,Ãmerson
530,32,N. KovaÄ
530,67,R. KovaÄ
531,17,Rusol
531,47,Vashchuk
532,35,Haggui
532,36,Bouazizi
532,65,Chedli
