,Attendance,Cautions1,Cautions2,Corner Kicks1,Corner Kicks2,Country1,Country2,Date,Direct Free Kicks1,Direct Free Kicks2,Edition,Explusions1,Explusions2,Fouls1,Fouls2,Indirect Free Kicks1,Match,MatchID,Offsides1,Offsides2,On Goal1,On Goal2,Penalty Kicks1,Penalty Kicks2,Result,RoundID,Second Cautions1,Second Cautions2,Shots1,Shots2,Stage,TeamID1,TeamID2,Time,Venue,indirect Free Kicks2
0,62103,2,2,7,3,BRA,CRO,12 Jun 2014,21,6,brazil2014,0,0,5,21,0,Match 1,300186456,1,0,9,4,1,0,3:1,255931,0,0,14,10,Group A,43924,43938, 17:00,Sao Paulo ,0
1,39216,1,1,2,5,MEX,CMR,13 Jun 2014,15,16,brazil2014,0,0,11,12,0,Match 2,300186492,5,3,5,4,0,0,1:0,255931,0,0,9,10,Group A,43911,43849, 13:00,Natal ,0
2,48173,1,3,4,1,ESP,NED,13 Jun 2014,23,10,brazil2014,0,0,5,18,0,Match 3,300186510,5,5,6,11,0,0,1:5,255931,0,0,9,13,Group B,43969,43960, 16:00,Salvador ,0
3,40275,1,3,3,1,CHI,AUS,13 Jun 2014,19,10,brazil2014,0,0,9,18,0,Match 4,300186473,1,1,9,6,0,0,3:1,255931,0,0,11,13,Group B,43925,43976, 18:00,Cuiaba ,0
4,57174,1,2,4,4,COL,GRE,14 Jun 2014,17,20,brazil2014,0,0,19,14,0,Match 5,300186471,1,3,8,7,0,0,3:0,255931,0,0,12,12,Group C,43926,43949, 13:00,Belo Horizonte ,0
5,58679,3,0,5,6,URU,CRC,14 Jun 2014,20,26,brazil2014,1,0,20,18,0,Match 7,300186489,6,2,5,4,0,0,1:3,255931,0,0,9,12,Group D,43930,43901, 16:00,Fortaleza ,0
6,39800,1,0,9,2,ENG,ITA,14 Jun 2014,19,8,brazil2014,0,0,8,12,0,Match 8,300186513,0,7,8,5,0,0,1:2,255931,0,0,18,12,Group D,43942,43954, 18:00,Manaus ,0
7,40267,2,2,8,5,CIV,JPN,14 Jun 2014,14,15,brazil2014,0,0,12,13,0,Match 6,300186507,3,1,9,4,0,0,2:1,255931,0,0,19,7,Group C,43854,43819, 22:00,Recife ,0
8,68351,1,1,8,5,SUI,ECU,15 Jun 2014,19,10,brazil2014,0,0,9,15,0,Match 9,300186494,1,4,12,6,0,0,2:1,255931,0,0,18,10,Group E,43971,43927, 13:00,Brasilia ,0
9,43012,3,2,8,0,FRA,HON,15 Jun 2014,16,14,brazil2014,0,0,13,14,0,Match 10,300186496,1,2,10,2,1,0,3:0,255931,0,1,20,4,Group E,43946,43909, 16:00,Porto Alegre ,0
10,74738,1,1,2,6,ARG,BIH,15 Jun 2014,17,10,brazil2014,0,0,10,14,0,Match 11,300186477,0,3,5,10,0,0,2:0,255931,0,0,11,15,Group F,43922,44037, 19:00,Rio De Janeiro ,0
11,51081,0,1,4,6,GER,POR,16 Jun 2014,12,10,brazil2014,0,1,8,11,0,Match 13,300186475,2,1,9,9,1,0,4:0,255931,0,0,13,14,Group G,43948,43963, 13:00,Salvador ,0
12,39081,1,0,2,7,IRN,NGA,16 Jun 2014,16,19,brazil2014,0,0,18,16,0,Match 12,300186505,1,0,3,6,0,0,0:0,255931,0,0,7,10,Group F,43817,43876, 16:00,Curitiba ,0
13,39760,2,0,7,3,GHA,USA,16 Jun 2014,13,15,brazil2014,0,0,10,12,0,Match 14,300186512,5,1,8,7,0,0,1:2,255931,0,0,21,8,Group G,43860,43921, 19:00,Natal ,0
14,56800,1,1,7,2,BEL,ALG,17 Jun 2014,18,23,brazil2014,0,0,21,18,0,Match 15,300186479,3,0,10,1,0,1,2:1,255931,0,0,16,3,Group H,43935,43843, 13:00,Belo Horizonte ,0
15,60342,2,2,4,3,BRA,MEX,17 Jun 2014,18,18,brazil2014,0,0,13,18,0,Match 17,300186509,5,0,8,3,0,0,0:0,255931,0,0,14,13,Group A,43924,43911, 16:00,Fortaleza ,0
16,37603,1,3,4,4,RUS,KOR,17 Jun 2014,7,15,brazil2014,0,0,15,7,0,Match 16,300186499,0,0,10,6,0,0,1:1,255931,0,0,16,10,Group H,43965,43822, 18:00,Cuiaba ,0
17,42877,1,1,3,2,AUS,NED,18 Jun 2014,26,19,brazil2014,0,0,18,25,0,Match 20,300186478,1,1,8,14,1,0,2:3,255931,0,0,10,15,Group B,43976,43960, 13:00,Porto Alegre ,0
18,74101,1,2,7,1,ESP,CHI,18 Jun 2014,17,15,brazil2014,0,0,14,15,0,Match 19,300186498,1,2,9,4,0,0,0:2,255931,0,0,15,7,Group B,43969,43925, 16:00,Rio De Janeiro ,0
19,39982,0,1,4,7,CMR,CRO,18 Jun 2014,13,11,brazil2014,1,0,11,9,0,Match 18,300186453,0,4,7,14,0,0,0:4,255931,0,0,18,21,Group A,43849,43938, 18:00,Manaus ,0
20,68748,0,2,5,5,COL,CIV,19 Jun 2014,16,14,brazil2014,0,0,11,14,0,Match 21,300186468,3,2,8,11,0,0,2:1,255931,0,0,11,15,Group C,43926,43854, 13:00,Brasilia ,0
21,62575,1,1,7,6,URU,ENG,19 Jun 2014,13,20,brazil2014,0,0,17,12,0,Match 23,300186486,3,1,6,8,0,0,2:1,255931,0,0,10,13,Group D,43930,43942, 16:00,Sao Paulo ,0
22,39485,1,2,5,7,JPN,GRE,19 Jun 2014,21,24,brazil2014,0,0,23,18,0,Match 22,300186454,1,3,11,5,0,0,0:0,255931,0,1,16,9,Group C,43819,43949, 19:00,Natal ,0
23,40285,1,1,4,5,ITA,CRC,20 Jun 2014,27,21,brazil2014,0,0,10,24,0,Match 24,300186500,11,3,6,6,0,0,0:1,255931,0,0,10,10,Group D,43954,43901, 13:00,Recife ,0
24,51003,0,1,5,3,SUI,FRA,20 Jun 2014,18,13,brazil2014,0,0,12,16,0,Match 25,300186514,1,2,8,16,0,1,2:5,255931,0,0,17,22,Group E,43971,43946, 16:00,Salvador ,0
25,39224,2,3,4,12,HON,ECU,20 Jun 2014,18,16,brazil2014,0,0,15,17,0,Match 26,300186463,1,1,9,5,0,0,1:2,255931,0,0,16,8,Group E,43909,43927, 19:00,Curitiba ,0
26,57698,0,2,10,6,ARG,IRN,21 Jun 2014,15,8,brazil2014,0,0,8,14,0,Match 27,300186466,0,1,9,4,0,0,1:0,255931,0,0,19,8,Group F,43922,43817, 13:00,Belo Horizonte ,0
27,59621,0,1,7,3,GER,GHA,21 Jun 2014,22,12,brazil2014,0,0,11,17,0,Match 29,300186493,1,5,6,10,0,0,2:2,255931,0,0,11,20,Group G,43948,43860, 16:00,Fortaleza ,0
28,40499,1,1,4,4,NGA,BIH,21 Jun 2014,9,12,brazil2014,0,0,9,7,0,Match 28,300186511,3,2,13,10,0,0,1:0,255931,0,0,20,18,Group F,43876,44037, 18:00,Cuiaba ,0
29,73819,2,1,5,8,BEL,RUS,22 Jun 2014,9,21,brazil2014,0,0,,,0,Match 31,300186481,7,0,,,,,,255931,0,0,,,Group H,43935,43965, 13:00,Rio De Janeiro ,0
30,42732,2,1,7,5,KOR,ALG,22 Jun 2014,17,14,brazil2014,0,0,13,16,0,Match 32,300186495,1,1,6,8,0,0,2:4,255931,0,0,9,15,Group H,43822,43843, 16:00,Porto Alegre ,0
