,Country,Event,MatchID,Player,PlayerID,Time
0,NED,C,300111117,,291410,36.0
1,NED,G,300111117,,215002,53.0
2,GER,G,300111116,,196789,8.0
3,GER,C,300111116,,305036,12.0
4,AUS,C,300111116,,154061,24.0
5,GER,G,300111116,,182206,26.0
6,AUS,C,300111116,,178312,46.0
7,AUS,E,300111116,,213001,56.0
8,AUS,C,300111116,,182617,58.0
9,GER,G,300111116,,321722,68.0
10,GER,G,300111116,,312546,70.0
11,GER,C,300111116,,312546,90.0
12,NGA,G,300111115,,178738,12.0
13,NGA,C,300111115,,189300,31.0
14,NGA,C,300111115,,200301,37.0
15,KOR,G,300111115,,296013,38.0
16,NGA,C,300111115,,238748,42.0
17,KOR,G,300111115,,207761,49.0
18,KOR,C,300111115,,188386,68.0
19,NGA,G,300111115,,3989,69.0
20,ESP,G,300111114,,177914,73.0
21,NED,G,300111113,,184616,18.0
22,NED,C,300111113,,184616,31.0
23,SVK,C,300111113,,319373,40.0
24,SVK,C,300111113,,207956,72.0
25,SVK,C,300111113,,197793,84.0
26,NED,G,300111113,,215002,84.0
27,NED,C,300111113,,184599,90.0
28,SVK,G,300111113,,184410,90.0
29,SUI,C,300111112,,214474,30.0
30,SUI,G,300111112,,216650,52.0
31,SUI,C,300111112,,216642,73.0
32,SUI,C,300111112,,178791,90.0
33,SUI,C,300111112,,196633,90.0
34,BRA,C,300111111,,200158,15.0
35,BRA,C,300111111,,185324,25.0
36,POR,C,300111111,,187174,25.0
37,POR,C,300111111,,187199,31.0
38,POR,C,300111111,,275931,40.0
39,BRA,C,300111111,,194818,43.0
40,POR,C,300111111,,269784,45.0
41,NED,G,300061512,,155679,18.0
42,URU,C,300061512,,286481,21.0
43,NED,C,300061512,,215002,29.0
44,URU,C,300061512,,267829,29.0
45,URU,G,300061512,,189259,41.0
46,NED,G,300061512,,215002,70.0
47,NED,G,300061512,,184616,73.0
48,NED,C,300061512,,218246,78.0
49,NED,C,300061512,,179568,90.0
50,URU,G,300061512,,286481,90.0
51,GER,C,300061510,,196889,5.0
52,GER,C,300061510,,312546,7.0
53,GER,G,300061510,,321722,19.0
54,URU,G,300061510,,267834,28.0
55,URU,G,300061510,,189259,51.0
56,GER,G,300061510,,196791,56.0
57,URU,C,300061510,,185359,61.0
58,GER,G,300061510,,196900,82.0
59,GER,C,300061510,,191178,90.0
60,NED,C,300061509,,217315,15.0
61,ESP,C,300061509,,177914,16.0
62,NED,C,300061509,,179568,22.0
63,ESP,C,300061509,,216814,23.0
64,NED,C,300061509,,216964,28.0
65,NED,C,300061509,,155679,54.0
66,NED,C,300061509,,184607,57.0
67,ESP,C,300061509,,177907,67.0
68,NED,C,300061509,,184616,84.0
69,NED,E,300061509,,184607,109.0
70,NED,C,300061509,,291410,111.0
71,ESP,G,300061509,,183857,116.0
72,NED,C,300061509,,228281,117.0
73,ESP,C,300061509,,183857,118.0
74,ESP,C,300061509,,177855,120.0
75,URU,C,300061508,,276132,20.0
76,GHA,G,300061508,,183000,45.0
77,URU,C,300061508,,286238,48.0
78,GHA,C,300061508,,184557,54.0
79,URU,G,300061508,,189259,55.0
80,URU,C,300061508,,185359,59.0
81,GHA,C,300061508,,181711,77.0
82,GHA,C,300061508,,184560,93.0
83,,PG,300061508,,158398,
84,,PG,300061508,,176546,
85,,PG,300061508,,189259,
86,,PG,300061508,,286484,
87,,PM,300061508,,286481,
88,URU,E,300061508,,270775,120.0
89,BRA,G,300061507,,194815,10.0
90,NED,C,300061507,,184607,14.0
91,BRA,C,300061507,,318171,37.0
92,NED,C,300061507,,291410,47.0
93,NED,G,300061507,,215002,53.0
94,NED,C,300061507,,216964,64.0
95,NED,G,300061507,,215002,68.0
96,BRA,E,300061507,,194818,73.0
97,NED,C,300061507,,155673,76.0
98,ESP,C,300061506,,216973,57.0
99,PAR,C,300061506,,283757,59.0
100,PAR,C,300061506,,313535,59.0
101,ESP,C,300061506,,303034,63.0
102,PAR,C,300061506,,185429,71.0
103,ESP,G,300061506,,229884,83.0
104,PAR,C,300061506,,276118,88.0
105,GER,G,300061505,,321722,3.0
106,ARG,C,300061505,,310116,11.0
107,GER,C,300061505,,321722,35.0
108,GER,G,300061505,,182206,68.0
109,GER,G,300061505,,191178,74.0
110,ARG,C,300061505,,182372,80.0
111,GER,G,300061505,,182206,89.0
112,URU,G,300061504,,270775,8.0
113,KOR,C,300061504,,209904,38.0
114,KOR,G,300061504,,268414,68.0
115,KOR,C,300061504,,188387,69.0
116,URU,G,300061504,,270775,80.0
117,KOR,C,300061504,,237771,83.0
118,GHA,G,300061503,,196897,5.0
119,USA,C,300061503,,197408,7.0
120,USA,C,300061503,,182797,18.0
121,GHA,C,300061503,,306634,61.0
122,USA,G,300061503,,175507,62.0
123,USA,C,300061503,,187160,68.0
124,GHA,C,300061503,,294620,90.0
125,GHA,G,300061503,,208353,93.0
126,ARG,G,300061502,,182373,26.0
