game_id,attendance,day_of_month,month_of_year,year,ref_name,ref_country,stadium,stadium_city,stage,team1,team2,stadium_lat,stadium_long
1,25000,27,5,1934,René Mercet ,SWI,Stadio Nazionale del PNF ,Roma,FIRST ROUND,Italy,USA,41.927222,12.472222
2,16000,27,5,1934,John van Moorsel ,NED,Benito Mussolini ,Torino,FIRST ROUND,Austria,France,45.04175,7.650014
3,8000,27,5,1934,Francesco Mattea ,ITA,Giovanni Berta ,Firenze,FIRST ROUND,Germany,Belgium,43.780822,11.282258
4,9000,27,5,1934,Jean Langenus ,BEL,Stadio del Littorio ,Trieste,FIRST ROUND,Czechoslovakia,Romania,44.415833,8.870556
5,33000,27,5,1934,Ivan Eklind ,SWE,San Siro ,Milano,FIRST ROUND,Switzerland,Netherlands,45.47808,9.124
6,14000,27,5,1934,Erwin Braun ,AUT,Stadio Littoriale ,Bologna,FIRST ROUND,Sweden,Argentina,44.5075,11.351389
7,21000,27,5,1934,Alfred Birlem ,GER,Luigi Ferraris ,Genova,FIRST ROUND,Spain,Brazil,44.416431,8.952428
8,9000,27,5,1934,Rinaldo Barlassina ,ITA,Giorgio Ascarelli ,Napoli,FIRST ROUND,Hungary,Egypt,40.859722,14.293333
9,23000,31,5,1934,Francesco Mattea ,ITA,Stadio Littoriale ,Bologna,1/4 FINAL,Austria,Hungary,44.5075,11.351389
10,12000,31,5,1934,Alois Beranek ,AUT,Benito Mussolini ,Torino,1/4 FINAL,Czechoslovakia,Switzerland,45.04175,7.650014
11,15000,31,5,1934,Rinaldo Barlassina ,ITA,San Siro ,Milano,1/4 FINAL,Germany,Sweden,45.47808,9.124
12,35000,31,5,1934,Louis Baert ,BEL,Giovanni Berta ,Firenze,1/4 FINAL,Italy,Spain,43.780822,11.282258
13,43000,1,6,1934,René Mercet ,SWI,Giovanni Berta ,Firenze,1/4 FINAL â TIE-BREAK,Italy,Spain,43.780822,11.282258
14,60000,3,6,1934,Ivan Eklind ,SWE,San Siro ,Milano,1/2 FINAL,Italy,Austria,45.47808,9.124
15,15000,3,6,1934,Rinaldo Barlassina ,ITA,Stadio Nazionale del PNF ,Roma,1/2 FINAL,Czechoslovakia,Germany,41.927222,12.472222
16,7000,7,6,1934,Albino Carraro ,ITA,Giorgio Ascarelli ,Napoli,PLACES 3-4,Germany,Austria,40.859722,14.293333
17,50000,10,6,1934,Ivan Eklind,SWE,Stadio Nazionale del PNF ,Roma,FINAL,Italy,Czechoslovakia,41.927222,12.472222
18,34107,8,6,1958,Nikolaj Latyshev ,USSR,Råsunda ,Solna Stockholm, GROUP STAGE,Sweden,Mexico,59.362742,17.996308
19,31156,8,6,1958,Reginald Leafe ,ENG,Malmö Stadion ,Malmö, GROUP STAGE,FRG,Argentina,55.586081,12.989267
20,10647,8,6,1958,Fritz Seipelt ,AUT,Örjans Vall ,Halmstad, GROUP STAGE,Northern Ireland,Czechoslovakia,56.684167,12.866389
21,16518,8,6,1958,Juan Gardeazábal ,SPA,Idrottsparken ,Norrköping, GROUP STAGE,France,Paraguay,58.584306,16.173056
22,9591,8,6,1958,Paul Wyssling ,SWI,Arosvallen ,Västerås, GROUP STAGE,Yugoslavia,Scotland,59.620556,16.541111
23,15343,8,6,1958,José MarÃ­a Codesal ,URU,Jernvallen ,Sandviken, GROUP STAGE,Hungary,Wales,60.616667,16.783333
24,49348,8,6,1958,István Zsolt ,HUN,Nya Ullevi ,Göteborg, GROUP STAGE,England,Soviet Union,57.705833,11.987222
25,17778,8,6,1958,Maurice Guigue ,FRA,Rimnersvallen ,Uddevalla, GROUP STAGE,Brazil,Austria,58.356667,11.95
26,31156,11,6,1958,Arthur Ellis ,ENG,Olympiastadion ,Helsingborg, GROUP STAGE,FRG,Czechoslovakia,59.34535,18.079044
27,14174,11,6,1958,Sten Ahlner ,SWE,Örjans Vall ,Halmstad, GROUP STAGE,Argentina,Northern Ireland,56.684167,12.866389
28,11665,11,6,1958,Vincenzo Orlandini ,ITA,Idrottsparken ,Norrköping, GROUP STAGE,Paraguay,Scotland,58.584306,16.173056
29,12217,11,6,1958,Mervyn Griffiths ,WAL,Arosvallen ,Västerås, GROUP STAGE,Yugoslavia,France,59.620556,16.541111
30,15150,11,6,1958,Leo LemeÅ¡iÄ ,YUG,Råsunda ,Solna Stockholm, GROUP STAGE,Wales,Mexico,59.362742,17.996308
31,40895,11,6,1958,Albert Dusch ,FRG,Nya Ullevi ,Göteborg, GROUP STAGE,Brazil,England,57.705833,11.987222
32,21239,11,6,1958,Carl Jørgensen ,DEN,Ryavallen ,Borås, GROUP STAGE,Soviet Union,Austria,57.721111,12.940278
33,38850,12,6,1958,John Mowatt ,SCO,Råsunda ,Solna Stockholm, GROUP STAGE,Sweden,Hungary,59.362742,17.996308
34,30287,15,6,1958,Lucien van Nuffel ,BEL,Råsunda ,Solna Stockholm, GROUP STAGE,Sweden,Wales,59.362742,17.996308
35,21990,15,6,1958,Joaquim Fernandes Campos ,POR,Malmö Stadion ,Malmö, GROUP STAGE,FRG,Northern Ireland,55.586081,12.989267
36,16418,15,6,1958,Arthur Ellis ,ENG,Olympiastadion ,Helsingborg, GROUP STAGE,Czechoslovakia,Argentina,59.34535,18.079044
37,13554,15,6,1958,Juan Regis Brozzi ,ARG,Eyravallen ,Ãrebro, GROUP STAGE,France,Scotland,59.266111,15.223056
38,13103,15,6,1958,Martin Mêko ,CZE,Tunavallen ,Eskilstuna, GROUP STAGE,Yugoslavia,Paraguay,59.370667,16.495
39,13310,15,6,1958,Aarne Eriksson ,FIN,Jernvallen ,Sandviken, GROUP STAGE,Hungary,Mexico,60.616667,16.783333
40,50928,15,6,1958,Maurice Guigue ,FRA,Nya Ullevi ,Göteborg, GROUP STAGE,Brazil,Soviet Union,57.705833,11.987222
