edition,round,score,team1,team2,venue,year
1930-URUGUAY,GROUP_STAGE,4-1 (3-0),France,Mexico (México),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (2-0),USA,Belgium (België),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,2-1 (2-0),Yugoslavia (Југославија),Brazil (Brasil),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-1 (1-0),Romania (România),Peru (Perú),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Argentina,France,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (1-0),Chile,Mexico (México),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (0-0),Yugoslavia (Југославија),Bolivia,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-0 (2-0),USA,Paraguay,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Uruguay,Peru (Perú),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (0-0),Chile,France,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,6-3 (3-1),Argentina,Mexico (México),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (1-0),Brazil (Brasil),Bolivia,Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,1-0 (1-0),Paraguay,Belgium (België),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,4-0 (4-0),Uruguay,Romania (România),Montevideo.,1930
1930-URUGUAY,GROUP_STAGE,3-1 (2-1),Argentina,Chile,Montevideo.,1930
1930-URUGUAY,1/2_FINAL,6-1 (1-0),Argentina,USA,Montevideo.,1930
1930-URUGUAY,1/2_FINAL,6-1 (3-1),Uruguay,Yugoslavia (Југославија),Montevideo.,1930
1930-URUGUAY,_FINAL,4-2 (1-2),Uruguay,Argentina,Montevideo.,1930
1934-ITALY,PRELIMINARY-Europe,6-2 (4-0),Sweden (Sverige),Estonia (Eesti),Stockholm.,1933
1934-ITALY,PRELIMINARY-Europe,0-2 (0-0),Lithuania (Lietuva),Sweden (Sverige),Kaunas.,1933
1934-ITALY,PRELIMINARY-Europe,2-2 (0-0),Yugoslavia (Југославија),Switzerland (Schweiz / Suisse),Beograd.,1933
1934-ITALY,PRELIMINARY-Europe,1-2 (0-1),Poland (Polska),Czechoslovakia (Československo),Warszawa.,1933
1934-ITALY,PRELIMINARY-Europe,2-0 (w.o.),Switzerland (Schweiz / Suisse),Romania (România),Bern.,1933
1934-ITALY,PRELIMINARY-N/C.America,1-3 (0-1),Haiti (Haïti),Cuba,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-N/C.America,1-1 (0-0),Haiti (Haïti),Cuba,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-N/C.America,0-6 (0-3),Haiti (Haïti),Cuba,Port-au-Prince.,1934
1934-ITALY,PRELIMINARY-Europe,4-4 (1-2),Irish Free State (Saorstát Éireann),Belgium (België),Dublin.,1934
1934-ITALY,PRELIMINARY-N/C.America,3-2 (3-1),Mexico (México),Cuba,México D.F.,1934
1934-ITALY,PRELIMINARY-Europe,9-0 (3-0),Spain (España),Portugal,Madrid.,1934
1934-ITALY,PRELIMINARY-Europe,1-9 (1-5),Luxembourg (Lëtzebuerg),Germany (Deutschland),Luxembourg.,1934
1934-ITALY,PRELIMINARY-N/C.America,5-0 (3-0),Mexico (México),Cuba,México D.F.,1934
1934-ITALY,PRELIMINARY-N.E.,7-1 (4-0),Egypt (مصر),Palestine (فلسطين),Cairo.,1934
1934-ITALY,PRELIMINARY-Europe,1-2 (1-2),Portugal,Spain (España),Lisboa.,1934
1934-ITALY,PRELIMINARY-N/C.America,4-1 (2-1),Mexico (México),Cuba,México D.F.,1934
1934-ITALY,PRELIMINARY-Europe,4-0 (2-0),Italy (Italia),Greece (Ελλάδα),Milano.,1934
1934-ITALY,PRELIMINARY-Europe,1-4 (1-1),Bulgaria (България),Hungary (Magyarország),Sofija.,1934
1934-ITALY,PRELIMINARY-N.E.,1-4 (0-4),Palestine (فلسطين),Egypt (مصر),Jerusalem.,1934
1934-ITALY,PRELIMINARY-Europe,5-2 (1-1),Netherlands (Nederland),Irish Free State (Saorstát Éireann),Amsterdam.,1934
1934-ITALY,PRELIMINARY-Europe,1-6 (0-2),Luxembourg (Lëtzebuerg),France,Luxembourg.,1934
1934-ITALY,PRELIMINARY-Europe,6-1 (3-0),Austria (Österreich),Bulgaria (България),Wien.,1934
1934-ITALY,PRELIMINARY-Europe,4-1 (1-0),Hungary (Magyarország),Bulgaria (България),Budapest.,1934
1934-ITALY,PRELIMINARY-Europe,2-1 (1-0),Romania (România),Yugoslavia (Југославија),Bucureşti.,1934
1934-ITALY,PRELIMINARY-Europe,2-4 (0-0),Belgium (België),Netherlands (Nederland),Antwerpen.,1934
1934-ITALY,PRELIMINARY-N/C.America,4-2 (2-1),USA,Mexico (México),Roma.,1934
1934-ITALY,FIRST,7-1 (3-0),Italy (Italia),USA,Roma.,1934
1934-ITALY,FIRST,3-2 (1-1) (a.e.t.),Austria (Österreich),France,Torino.,1934
1934-ITALY,FIRST,5-2 (1-2),Germany (Deutschland),Belgium (België),Firenze.,1934
1934-ITALY,FIRST,2-1 (0-1),Czechoslovakia (Československo),Romania (România),Trieste.,1934
1934-ITALY,FIRST,3-2 (2-1),Switzerland (Schweiz / Suisse),Netherlands (Nederland),Milano.,1934
1934-ITALY,FIRST,3-2 (1-1),Sweden (Sverige),Argentina,Bologna.,1934
1934-ITALY,FIRST,3-1 (3-0),Spain (España),Brazil (Brasil),Genova.,1934
1934-ITALY,FIRST,4-2 (2-2),Hungary (Magyarország),Egypt (مصر),Napoli.,1934
1934-ITALY,1/4_FINAL,2-1 (1-0),Austria (Österreich),Hungary (Magyarország),Bologna.,1934
1934-ITALY,1/4_FINAL,3-2 (1-1),Czechoslovakia (Československo),Switzerland (Schweiz / Suisse),Torino.,1934
1934-ITALY,1/4_FINAL,2-1 (0-0),Germany (Deutschland),Sweden (Sverige),Milano.,1934
1934-ITALY,1/4_FINAL,1-1 (1-1) (a.e.t.),Italy (Italia),Spain (España),Firenze.,1934
1934-ITALY,1/4_FINAL,1-0 (1-0) (r.),Italy (Italia),Spain (España),Firenze.,1934
1934-ITALY,1/2_FINAL,1-0 (1-0),Italy (Italia),Austria (Österreich),Milano.,1934
1934-ITALY,1/2_FINAL,3-1 (1-0),Czechoslovakia (Československo),Germany (Deutschland),Roma.,1934
1934-ITALY,PLACES_3&4,3-2 (3-1),Germany (Deutschland),Austria (Österreich),Napoli.,1934
